Class Index,Title,Description,desc_length,clean_desc
4,Manugistics Fires Its President,"Manugistics Group Inc. disclosed Monday that it fired its president, as the maker of business software tries to reverse slipping sales, rising costs and a falling stock price. &lt;BR&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",36,manugist group inc disclos monday fire presid maker busi softwar tri revers slip sale rise cost fall stock price ltbrgtltfont faceverdanam san serifarialhelvetica size2 color666666gtltbgtth washington postltbgtltfontgt
1,US genocide charge is Bush election ploy - Sudan FM (AFP),AFP - Sudan's foreign minister rejected US charges of genocide in the western region of Darfur as a reelection ploy by US President George W. Bush.,26,afp sudan foreign minist reject us charg genocid western region darfur reelect ploy us presid georg w bush
4,"Netflix CEO Rates Blockbuster, Amazon Threats (Reuters)",Reuters - Netflix Inc chief\executive Reed Hastings said on Friday that Blockbuster Inc has\more to lose in the war for online DVD renters than emerging\foe Amazon.com Inc.,27,reuter netflix inc chiefexecut reed hast said friday blockbust inc hasmor lose war onlin dvd renter emergingfo amazoncom inc
4,Fake goods tempting young adults,"Young people are increasingly happy to buy pirated goods or illegal download content from the net, a survey shows.",19,young peopl increasingli happi buy pirat good illeg download content net survey show
4,RealNetworks signs up Red Flag Linux,Digital media company signs up a new Linux partner to distribute its audio and video player.,16,digit media compani sign new linux partner distribut audio video player
1,Stop croc water swimming: coroner,"THE public still did not appreciate how frighteningly dangerous crocodiles were, even after the fatal mauling of a German tourist two years ago, a coroner said today.",27,public still appreci frighteningli danger crocodil even fatal maul german tourist two year ago coron said today
2,O'Brien Sues OSU for  #36;3.4 Million (AP),"AP - Former Ohio State basketball coach Jim O'Brien sued the school, claiming he is owed at least  #36;3.4 million because his firing violated terms of his contract.",28,ap former ohio state basketbal coach jim obrien su school claim owe least 3634 million fire violat term contract
1,Construction Spending Hits All-Time High,"WASHINGTON - Construction spending surged in August to the highest level on record, while manufacturing grew at a slower pace in September, offering mixed signals about the economy's strength.    The Commerce Department reported Friday that the value of buildings put in place clocked in at a seasonally adjusted annual rate of \$1.02 trillion, a record high...",56,washington construct spend surg august highest level record manufactur grew slower pace septemb offer mix signal economi strength commerc depart report friday valu build put place clock season adjust annual rate 102 trillion record high
2,"Hewitt Wins Long Island, Sends U.S. Open Warning"," COMMACK, New York (Reuters) - Former world number one  Lleyton Hewitt hammered out a warning to his rivals for next  week's U.S. Open as he demolished Peru's Luis Horna 6-3, 6-1,  to win the Long Island Cup on Sunday.",39,commack new york reuter former world number one lleyton hewitt hammer warn rival next week us open demolish peru lui horna 63 61 win long island cup sunday
4,Alaska Brown Bears Gather for Annual Salmon Feast,"Each summer, the falls at McNeil River turn into a mosh pit of bears. Instead of thumping music, it's the sound of salmon slapping their way up the falls at the McNeil River State Game Sanctuary that sends the bears into a fishing frenzy.",44,summer fall mcneil river turn mosh pit bear instead thump music sound salmon slap way fall mcneil river state game sanctuari send bear fish frenzi
2,MLB Notebook: Johnson trade still in the works,"The New York Yankees, Arizona and Los Angeles spent yesterday trying to put the finishing touches on the megadeal that would move All-Stars Randy Johnson, Shawn Green and Javier Vazquez.",30,new york yanke arizona lo angel spent yesterday tri put finish touch megad would move allstar randi johnson shawn green javier vazquez
4,MSN #39;s download service expanding,Microsoft #39;s has launched its MSN music download service in eight more European countries as the software giant bids to takes on Apple #39;s market leading iTunes.,27,microsoft 39 launch msn music download servic eight european countri softwar giant bid take appl 39 market lead itun
3,US Army to withhold portion of Halliburton payments,The billing dispute between the US Army and Houston-based Halliburton Co. continues as the Army on Tuesday said it would withhold paying 15 percent of future invoices from Halliburton. ,29,bill disput us armi houstonbas halliburton co continu armi tuesday said would withhold pay 15 percent futur invoic halliburton
4,Geminid Meteor Shower Could Be Spectacular,DENVER -- Coloradans willing to brave the nighttime cold and get away from the lights of the city could be in for a spectacular show Monday night.,27,denver coloradan will brave nighttim cold get away light citi could spectacular show monday night
2,The U.S. Gives Mia Hamm a Golden Farewell," ATHENS (Reuters) - The United States gave Hall of Famer Mia  Hamm the perfect send-off Thursday, beating Brazil 2-1 to win  Olympic gold in the women's soccer tournament.",28,athen reuter unit state gave hall famer mia hamm perfect sendoff thursday beat brazil 21 win olymp gold women soccer tournament
1,US Considering Incentives for Iran,"Resigning Iranian Vice-President Mohammad Ali Abtahi, center, and newly appointed Vice-President Majid Ansari, second left, attend a meeting of the central council of their party President Mohammad Khatami accepted Abtahi #39;s resignation, in Tehran, Iran ",35,resign iranian vicepresid mohammad ali abtahi center newli appoint vicepresid majid ansari second left attend meet central council parti presid mohammad khatami accept abtahi 39 resign tehran iran
1,In Our View: Sanctions not enough for Sudan,"While most of the country #39;s attention has been focused on Iraq, a human-rights crisis has been unfolding in north Africa. In Darfur, Sudan, more than 50,000 people have been killed and 1.2 million displaced ",35,countri 39 attent focus iraq humanright crisi unfold north africa darfur sudan 50000 peopl kill 12 million displac
1,Apex court permits night viewing of Taj Mahal:,"India News: New Delhi, Nov 25 : The Supreme Court Thursday permitted the Uttar Pradesh government to allow visitors to view the Taj Mahal on five moonlit nights a month.",30,india news new delhi nov 25 suprem court thursday permit uttar pradesh govern allow visitor view taj mahal five moonlit night month
3,Krispy Kreme #39;s hot streak cools,The niche doughnuts that rose quickly in popularity are feeling the weight of the low-carb craze and mass marketing. By Deb Kollars and Edie Lau -- Bee Staff Writers.,29,nich doughnut rose quickli popular feel weight lowcarb craze mass market deb kollar edi lau bee staff writer
4,"EU Wants to Cut Greenhouse Gases in Cars, Shoes (Reuters)","Reuters - The European Union's battle against\global warming will force companies to change automobile air\conditioning systems and restrict the sale of air-cushioned\sports shoes, European Union ministers said on Thursday.",29,reuter european union battl againstglob warm forc compani chang automobil aircondit system restrict sale aircushionedsport shoe european union minist said thursday
4,Solaris will be available for free,"At yesterday #39;s official launch of the new Solaris 10 operating system in San Jose, Calif., Sun executives said Solaris will be issued next January under an  quot;open-source quot; licensing plan similar to that used by the rival operating system Linux and the ",43,yesterday 39 offici launch new solari 10 oper system san jose calif sun execut said solari issu next januari quotopensourc quot licens plan similar use rival oper system linux
1,Man dies in blast as Chechens go to polls,"OISKHARA, Russia - A man tried to bring a suspicious package into a polling station in Chechnya on Sunday, then died in an explosion as he ran away, the head of the Chechen election commission said on Russian television.",39,oiskhara russia man tri bring suspici packag poll station chechnya sunday die explos ran away head chechen elect commiss said russian televis
1,Barghouthi Pulls Out of Palestinian Election,"Jailed Palestinian uprising leader Marwan Barghouthi has pulled out of a Jan. 9 presidential election to succeed Yasser Arafat, a close aide said on Sunday.",25,jail palestinian upris leader marwan barghouthi pull jan 9 presidenti elect succeed yasser arafat close aid said sunday
1,Afghanistan takes first difficult steps toward democracy,The election for president in Afghanistan may have brought us one small step closer to worldwide democracy. At least the people there left no doubt that they wanted to vote.,30,elect presid afghanistan may brought us one small step closer worldwid democraci least peopl left doubt want vote
2,Cards power way to victory,"First came the swing, then the launch and then the sound of 52,347 turning Busch Stadium into a deafening caldron. Then, having given the Cardinals an eighth-inning home run that ",30,first came swing launch sound 52347 turn busch stadium deafen caldron given cardin eighthin home run
1,Swedish ambassador says diplomats in North Korean saw no sign of &lt;b&gt;...&lt;/b&gt;,"Video footage of the area where North Korea said a huge explosion occurred showed dozens of workers swarming around a dusty construction site resembling a large dam project, while a foreign diplomat who visited the site said Friday he found no sign the ",43,video footag area north korea said huge explos occur show dozen worker swarm around dusti construct site resembl larg dam project foreign diplomat visit site said friday found sign
2,Pesky's patience rewarded,"Those were tears of joy he didn't even try to hide amid the wild celebration in the Red Sox' locker room last night. Sure, some champagne had been poured on him, but those were Johnny Pesky's emotions on display as he witnessed a scene that he never had a doubt he'd see.",52,tear joy didnt even tri hide amid wild celebr red sox locker room last night sure champagn pour johnni peski emot display wit scene never doubt hed see
2,Srichaphan sets up Federer semi,"Thailand #39;s Paradorn Srichaphan on Friday lined up a semifinal clash with world number one Roger Federer as he handed out a 6-2, 7-5 defeat to Dutchman Dennis van Scheppingen at the Thailand Open.",34,thailand 39 paradorn srichaphan friday line semifin clash world number one roger feder hand 62 75 defeat dutchman denni van scheppingen thailand open
3,Energy giants pair to pursue liquefied gas plant,"Two of Canada #39;s biggest energy companies, TransCanada Corp. and Petro-Canada Inc., want to build a \$660 million liquefied natural gas plant in northeastern Quebec to meet North Americans #39; insatiable demand for the fuel.",35,two canada 39 biggest energi compani transcanada corp petrocanada inc want build 660 million liquefi natur ga plant northeastern quebec meet north american 39 insati demand fuel
2,Comparisons inevitable in draft-day rematch,"It will be a Saturday afternoon soap opera, with the man the Giants vowed to have and to hold and the one they left at the altar crossing paths on the floor of Giants Stadium.",35,saturday afternoon soap opera man giant vow hold one left altar cross path floor giant stadium
2,Lions WR Roy Williams misses game in Dallas,"Detroit Lions receiver Roy Williams missed Sunday #39;s game against the Dallas Cowboys because of an ankle injury. Williams leads the Lions with 24 catches for 362 yards and five touchdowns, having taken over ",34,detroit lion receiv roy william miss sunday 39 game dalla cowboy ankl injuri william lead lion 24 catch 362 yard five touchdown taken
2,New Florida Coach Meyer Names Coaches (AP),"AP - Florida coach Urban Meyer nearly filled out his coaching staff Monday, keeping two assistants from Ron Zook's staff and bringing four with him from Utah.",27,ap florida coach urban meyer nearli fill coach staff monday keep two assist ron zook staff bring four utah
2,Knicks tighten defense in time,"When Stephon Marbury practically scraped the sky with a fourth-quarter jumper that barely beat the shot-clock buzzer and gave the Knicks a 12-point lead with 1:59 to play Saturday afternoon, Madison Square Garden began to empty.",36,stephon marburi practic scrape sky fourthquart jumper bare beat shotclock buzzer gave knick 12point lead 159 play saturday afternoon madison squar garden began empti
1,Medical Experts Fear Charley's Aftermath,"PUNTA GORDA, Fla. - Until the electricity hums again and the debris is cleared, health officials are worried that there could be more deaths and injuries in Hurricane Charley's aftermath than during the storm itself...",35,punta gorda fla electr hum debri clear health offici worri could death injuri hurrican charley aftermath storm
1,Edwards Calls for Crackdown on Meth Labs (AP),AP - Democratic vice presidential nominee John Edwards called Monday for tighter restrictions on the sale of nonprescription cold medicines that could be used to make methamphetamine.,27,ap democrat vice presidenti nomine john edward call monday tighter restrict sale nonprescript cold medicin could use make methamphetamin
3,Coke to alter sales practices,"Coca-Cola on Friday agreed to alter its sales practices in some European markets, an offer likely to bring to an end a five-year investigation by the European Commission into whether the soft drinks giant was stifling retail competition.",38,cocacola friday agre alter sale practic european market offer like bring end fiveyear investig european commiss whether soft drink giant stifl retail competit
2,Bungle against Bengals won #39;t do,"You don #39;t lose to the Bengals. It simply isn #39;t done. Not on Monday night, not on Sunday afternoon, not on Oct. 25, not on the 12th of Never.",30,39t lose bengal simpli 39t done monday night sunday afternoon oct 25 12th never
1,Syria under Security Council Scrutiny ... A Gift from Syria to &lt;b&gt;...&lt;/b&gt;,Syria has turned herself into cannon fodder in the campaigns directed against her during the American presidential election battle-a result of her miscalculations in the Lebanese presidential elections.,28,syria turn cannon fodder campaign direct american presidenti elect battlea result miscalcul lebanes presidenti elect
1,IAEA Won't Guarantee Iran Probe Deadline,"VIENNA, Austria - The head of the U.N. nuclear watchdog agency said Tuesday that he cannot guarantee his probe of Iran's suspect nuclear activities will be complete by November, the deadline sought by the United States and its European allies...",40,vienna austria head un nuclear watchdog agenc said tuesday cannot guarante probe iran suspect nuclear activ complet novemb deadlin sought unit state european alli
1,Lufthansa reaches wages agreement,German airline Lufthansa reaches a deal with unions on pay and working hours for its ground staff.,17,german airlin lufthansa reach deal union pay work hour ground staff
2,Harmison rated best Test bowler,"ENGLAND fast bowler Steve Harmison is the world #39;s number one bowler, according to the latest PwC Test ratings. The Durham quick #39;s match-winning nine-wicket haul in the fourth and final Test against the West ",35,england fast bowler steve harmison world 39 number one bowler accord latest pwc test rate durham quick 39 matchwin ninewicket haul fourth final test west
3,"Optus, Vodafone in 3G link","TELCOS Optus and Vodafone Australia will combine to create a national 3G mobile network, just three weeks after rival Telstra Corp entered a similar deal.",25,telco optu vodafon australia combin creat nation 3g mobil network three week rival telstra corp enter similar deal
2,"Fan slapped with fine, five-year ban for racially abusing Yorke","LONDON (AFP) - A British court slapped a 1,000-pound (1,880-dollar) fine and a five-year football ground ban on a fan for hurling monkey chants at Birmingham City striker Dwight Yorke.",30,london afp british court slap 1000pound 1880dollar fine fiveyear footbal ground ban fan hurl monkey chant birmingham citi striker dwight york
1,Beheadings Mark Haiti's Latest Misery," PORT-AU-PRINCE, Haiti, Oct. 7 -- At first it looked like an old glove, black and rubbery and flattened in traffic. But a closer look revealed toenails.",26,portauprinc haiti oct 7 first look like old glove black rubberi flatten traffic closer look reveal toenail
3,"Alitalia, Unions Sign Deal to Split Company",Italy #39;s troubled Alitalia airline has reached a deal with eight of nine unions to split the state-controlled firm in two in a plan to stave off bankruptcy.,28,itali 39 troubl alitalia airlin reach deal eight nine union split statecontrol firm two plan stave bankruptci
2,Ohio St. Forces Turnovers to Top N.C. St. (AP),"AP - The Luckeyes' magic is alive and well. Ohio State made up for a shoddy day offensively by forcing five turnovers, and Mike Nugent tied a school record with five field goals to give the ninth-ranked Buckeyes a 22-14 victory over North Carolina State on Saturday.",47,ap luckey magic aliv well ohio state made shoddi day offens forc five turnov mike nugent tie school record five field goal give ninthrank buckey 2214 victori north carolina state saturday
2,No Offense: Sox Fall To Rays,"The Sox, who entered play Tuesday with 28 wins in their last 35 games, continued their gradual descent back to Earth by falling to the Devil Rays, 5-2, in front of another sellout crowd of 35,118 at Fenway Park.",39,sox enter play tuesday 28 win last 35 game continu gradual descent back earth fall devil ray 52 front anoth sellout crowd 35118 fenway park
1,Iraq Again In The Forefront as Australian Election Approaches,"Australia #39;s election campaign is in its final stages, with the country #39;s role in Iraq again a major talking point. Australian Prime Minister John Howard says he does not need to apologize for joining last ",36,australia 39 elect campaign final stage countri 39 role iraq major talk point australian prime minist john howard say need apolog join last
1,TV Reporter May Be Jailed for Refusing to Disclose Source,The reporter was convicted of criminal contempt for refusing to disclose who leaked him an F.B.I. videotape on an investigation of government corruption in Providence.,25,report convict crimin contempt refus disclos leak fbi videotap investig govern corrupt provid
4,"Indian software services, BPO face worker shortage","BANGALORE, INDIA - India's software services and business process outsourcing (BPO) industries could face a shortage of skilled workers in the coming years, according to the National Association of Software and Service Companies (NASSCOM) in Delhi.",36,bangalor india india softwar servic busi process outsourc bpo industri could face shortag skill worker come year accord nation associ softwar servic compani nasscom delhi
2,Castroneves captures Indy race pole,FONTANA (California): Brazils Helio Castroneves dominated qualifying with a lap at 217.479 miles per hour to put his Dallara/ Toyota on the pole for the Toyota Indy 400 on Sunday.,30,fontana california brazil helio castronev domin qualifi lap 217479 mile per hour put dallara toyota pole toyota indi 400 sunday
4,Orange to ship Wi-Fi Pocket 'in October',"&lt;strong&gt;Update&lt;/strong&gt; M2000 same as XDA IIs, VPA III, MDA III",10,ltstronggtupdateltstronggt m2000 xda ii vpa iii mda iii
2,"Jeter, Yankees Look Dashing Once Again","Here it comes. You can feel the rumbling of anticipation now. Just two games into the American League playoffs, we already have a colossal collision coming into focus.",28,come feel rumbl anticip two game american leagu playoff alreadi coloss collis come focu
3,Oil Back Up to  #36;55 on U.S. Winter Stocks (Reuters),Reuters - Oil prices charged back up to  #36;55 a\barrel on Wednesday as a fresh fall in U.S. heating oil stocks\stoked worries over winter supplies.,25,reuter oil price charg back 3655 abarrel wednesday fresh fall us heat oil stocksstok worri winter suppli
4,Hollywood Steps Into DVD Format Fight (AP),"AP - Three top Hollywood studios are throwing their considerable weight behind one of two competing formats for the next generation of DVDs, citing in part the need to stem piracy.",31,ap three top hollywood studio throw consider weight behind one two compet format next gener dvd cite part need stem piraci
3,Update 1: Asset Writedown Leads to \$3.4B MCI Loss,"MCI Inc., one of the nation #39;s biggest long-distance operators, lost \$3.4 billion in the third quarter of 2004 due to a previously announced asset writedown of \$3.",28,mci inc one nation 39 biggest longdist oper lost 34 billion third quarter 2004 due previous announc asset writedown 3
1,Detroit 'African Town' Plan Stirs Debate (AP),"AP - Detroit has a Greektown section that tempts visitors with moussaka and baklava, and a Mexicantown neighborhood with Latin American groceries and restaurants. Now, politicians are pushing for a business district identified with the city's biggest minority group  #151; blacks.",41,ap detroit greektown section tempt visitor moussaka baklava mexicantown neighborhood latin american groceri restaur politician push busi district identifi citi biggest minor group 151 black
3,"Bank of America to cut 4,500 jobs","Bank of America Corp. (NYSE: BAC) plans to cut about 2.5 percent, or 4,500 jobs from its workforce, and it #39;s unclear how those cuts will affect Austin employees.",29,bank america corp nyse bac plan cut 25 percent 4500 job workforc 39 unclear cut affect austin employe
2,Virginia runs to victory over Clemson,"CHARLOTTESVILLE, Va. - Facing the first real test to its dominance this season, Virginia showed Clemson - and the nation - that its numbers haven #39;t just been built against inferior competition.",32,charlottesvil va face first real test domin season virginia show clemson nation number 39t built inferior competit
2,NBA Suspends Bucks' Fizer for One Game (AP),AP - The NBA suspended Milwaukee Bucks forward Marcus Fizer on Tuesday for one game following his guilty plea on a gun charge.,23,ap nba suspend milwauke buck forward marcu fizer tuesday one game follow guilti plea gun charg
1,"Taiwan offers to cut troops by 100,000","Taiwanese President Chen Shui-bian Wednesday offered to cut the island #39;s troops by 100,000 to ease military tensions with mainland China.",21,taiwanes presid chen shuibian wednesday offer cut island 39 troop 100000 eas militari tension mainland china
1,UN Mission Sends Military Team to Investigate Fighting in Eastern &lt;b&gt;...&lt;/b&gt;,"Following reports of fighting between different factions of former members of the Armed Forces of the Democratic Republic of the Congo (FARDC) and weapons distribution to civilians in North Kivu province, the United Nations mission today said it sent a ",40,follow report fight differ faction former member arm forc democrat republ congo fardc weapon distribut civilian north kivu provinc unit nation mission today said sent
2,Eriksson and Gerrard add to England woe,ENGLAND #39;S troubled build-up to their Wales showdown continued yesterday with Steven Gerrard #39;s injury diagnosis and fresh uncertainty over Sven-Goran Eriksson #39;s position.,24,england 39 troubl buildup wale showdown continu yesterday steven gerrard 39 injuri diagnosi fresh uncertainti svengoran eriksson 39 posit
3,Oil and Economy Cloud Stocks' Outlook (Reuters),Reuters - Soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market this week during the depth of the\summer doldrums.,29,reuter soar crude price plu worriesabout economi outlook earn expect tohang stock market week depth thesumm doldrum
1,Iran and Europe Negotiate to Try to Save Nuclear Agreement,Iran and its European partners struggled to salvage their agreement committing Tehran to freeze an important part of its nuclear program.,21,iran european partner struggl salvag agreement commit tehran freez import part nuclear program
3,Season Off to Slow Start,"The nation's retailers had a disappointing start to the holiday season, reporting sluggish sales for November after a much hoped-for surge in Thanksgiving weekend business failed to materialize.",28,nation retail disappoint start holiday season report sluggish sale novemb much hopedfor surg thanksgiv weekend busi fail materi
3,A Wedding That Won't Leave You Broke,"If you're planning a spring or summer wedding, you're probably sweating the details now.",14,your plan spring summer wed your probabl sweat detail
4,Nov launch for dual-screen Game Boy,"SEEKING to head off a challenge from video-game rival Sony Corp, Nintendo said on Tuesday that its dual-screen (DS) Game Boy player will hit stores in the United States just in time for the crucial holiday shopping season.",38,seek head challeng videogam rival soni corp nintendo said tuesday dualscreen ds game boy player hit store unit state time crucial holiday shop season
4,Montana Moves to Resume Bison Hunting (AP),"AP - On a spring day in 1990, there was chaos near the border of Yellowstone National Park. Bison were running. Hunters were facing off with activists who were trying to keep them from killing the bison. And D.J. Schubert was in the thick of it, leading the protesters.",49,ap spring day 1990 chao near border yellowston nation park bison run hunter face activist tri keep kill bison dj schubert thick lead protest
1,Three Georgian soldiers killed in breakaway region clashes (AFP),"AFP - Three Georgian soldiers have been killed and five wounded in clashes in Georgia's separatist region of South Ossetia, Rustavi 2 television reported, quoting an unnamed official with the Georgian interior ministry.",33,afp three georgian soldier kill five wound clash georgia separatist region south ossetia rustavi 2 televis report quot unnam offici georgian interior ministri
2,"Stars and Stripes Are Gone, but There Is Plenty to Salute","ENNIFER CAPRIATI had already dispatched Serena Williams, with a little help from the flawed human eye. Justine Henin-Hardenne was long gone, leaving a vacuum at the top of the draw.",30,ennif capriati alreadi dispatch serena william littl help flaw human eye justin heninhardenn long gone leav vacuum top draw
2,Redskins top Lions,(11/08/04) The Washington Redskins grabbed a 17-to-10 win over the Detroit Lions at Ford Field. Clinton Portis ran for 147 yards on 34 carries and threw a tiebreaking touchdown pass.,30,110804 washington redskin grab 17to10 win detroit lion ford field clinton porti ran 147 yard 34 carri threw tiebreak touchdown pass
4,Canada insistent on goal to slice vehicle emissions,OTTAWA - Two top Canadian ministers announced this week that they had resolved to cut global-warming emissions of cars and trucks sold in Canada by 25 percent by the end of the decade.,33,ottawa two top canadian minist announc week resolv cut globalwarm emiss car truck sold canada 25 percent end decad
2,Kasprowicz causes dilemma,"AUSTRALIA captain Ricky Ponting says the form of Michael Kasprowicz has left the world champions with a problem to solve ahead of the ICC Champions Trophy, which gets underway in England this week.",33,australia captain ricki pont say form michael kasprowicz left world champion problem solv ahead icc champion trophi get underway england week
3,New York AG to Sue Insurance Broker," NEW YORK (Reuters) - New York Attorney General Eliot  Spitzer on Thursday sued insurance broker Marsh   McLennan Cos.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MMC.N target=/stocks/quickinfo/fullquote""&gt;MMC.N&lt;/A&gt;, charging they engaged in market manipulation.",27,new york reuter new york attorney gener eliot spitzer thursday su insur broker marsh mclennan co lta hrefhttpwwwinvestorreuterscomfullquoteaspxtickermmcn targetstocksquickinfofullquotegtmmcnltagt charg engag market manipul
3,Update 1: Lockheed to Cut 4Q Earnings on Suit Loss,Lockheed Martin Corp. Monday said a court ruling in its dispute with the Department of Energy and the state of Idaho will reduce fourth-quarter earnings by \$110 million.,28,lockhe martin corp monday said court rule disput depart energi state idaho reduc fourthquart earn 110 million
2,They can #39;t turn down chance to turn corner,"inally, you can see the corner. It #39;s right there, waiting with all of its trappings. Get past it and you #39;re downwind. Get past it and everything is different.",30,inal see corner 39 right wait trap get past 39re downwind get past everyth differ
3,Congress extends Bush tax cuts for middle class,Congress last night passed legislation extending some of President Bush #39;s most-popular middle-class tax cuts - giving Mr. Bush a win heading into the final campaign stretch before Election Day.,30,congress last night pass legisl extend presid bush 39 mostpopular middleclass tax cut give mr bush win head final campaign stretch elect day
3,EADS Targets \$10 Billion in US Defense Revenue,"EADS is targeting \$10 billion in defense and security sales in the United States, its top managers said on Thursday, setting an ambitious goal for the European aerospace giant as it looks to crack the world #39;s richest defense market.",40,ead target 10 billion defens secur sale unit state top manag said thursday set ambiti goal european aerospac giant look crack world 39 richest defens market
3,Prominent investment banker gets jail term,"Frank Quattrone, considered the most prominent investment banker of the 1990s technology boom, has been sentenced to 18 months in prison.",21,frank quattron consid promin invest banker 1990 technolog boom sentenc 18 month prison
2,Graham finally admits he #39;s coach who turned in THG syringe,A mystery at the center of track and field #39;s biggest doping scandal has finally been solved. Top track coach Trevor Graham has admitted he was the coach who anonymously sent a syringe of THG to the US Anti ,39,mysteri center track field 39 biggest dope scandal final solv top track coach trevor graham admit coach anonym sent syring thg us anti
3,Eisner Denies Seeing Ovitz as Threatening,"  GEORGETOWN, Del., Nov. 17 -- Lawyers for plaintiffs in a shareholder suit over Michael S. Ovitz's \$140 million severance package from the Walt Disney Co. suggested on Wednesday that Disney chief executive Michael D. Eisner may have viewed his former protege as threatening.",43,georgetown del nov 17 lawyer plaintiff sharehold suit michael ovitz 140 million sever packag walt disney co suggest wednesday disney chief execut michael eisner may view former proteg threaten
2,Revolution need final kick for playoff push,"Rusty Pierce symbolized the Revolution's break with the past when he joined the team in 2000. The Revolution had qualified for the MLS playoffs once in their first four seasons, then advanced to the playoffs in three of the next four.",41,rusti pierc symbol revolut break past join team 2000 revolut qualifi ml playoff first four season advanc playoff three next four
4,Workers' Group Says EPA Censors Comments (Reuters),"Reuters - The U.S. Environmental Protection Agency\censored warnings that a Bush administration plan to build\roads in national forests could harm drinking water, a group\representing government workers said on Monday.",29,reuter us environment protect agencycensor warn bush administr plan buildroad nation forest could harm drink water grouprepres govern worker said monday
3,Markets punish Martha further,"Martha Stewart just can #39;t catch a break. Shares in her former company rose another 12 cents yesterday, to \$11.26, continuing a recovery that began soon after her conviction.",29,martha stewart 39t catch break share former compani rose anoth 12 cent yesterday 1126 continu recoveri began soon convict
3,EDS Grounded Too?,"wait for it -- is a landlubber. Thursday, services firm EDS (NYSE: EDS) said the bankruptcy filing by US Airways could cut ",22,wait landlubb thursday servic firm ed nyse ed said bankruptci file us airway could cut
2,Sooners surprisingly sit third in BCS Standings,Southern California and Miami are 1-2 in the initial BCS Standings with Oklahoma -- despite being ranked second in both the ESPN/USA Today and AP polls -- third.,28,southern california miami 12 initi bc stand oklahoma despit rank second espnusa today ap poll third
